EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
0	47.0	47
1	14.0	14
2	27.0	27
3	10.0	10
4	11.0	11
5	10.0	10
6	10.0	10
7	13.0	13
8	22.0	22
9	18.0	18
10	18.0	18
11	9.0	9
12	16.0	16
13	14.0	14
14	13.0	13
15	12.0	12
16	15.0	15
17	14.0	14
18	17.0	17
19	17.0	17
20	11.0	11
21	10.0	10
22	27.0	27
23	12.0	12
24	15.0	15
25	14.0	14
26	36.0	36
27	31.0	31
28	18.0	18
29	15.0	15
30	46.0	46
31	13.0	13
32	12.0	12
33	16.0	16
34	11.0	11
35	12.0	12
36	18.0	18
37	35.0	35
38	15.0	15
39	25.0	25
40	28.0	28
41	36.0	36
42	14.0	14
43	9.0	9
44	15.0	15
45	25.0	25
46	13.0	13
47	32.0	32
48	19.0	19
49	12.0	12
50	43.0	43
51	19.0	19
52	13.0	13
53	8.0	8
54	14.0	14
55	10.0	10
56	12.0	12
57	11.0	11
58	10.0	10
59	14.0	14
60	11.0	11
61	10.0	10
62	12.0	12
63	10.0	10
64	19.0	19
65	12.0	12
66	9.0	9
67	18.0	18
68	14.0	14
69	13.0	13
70	13.0	13
71	10.0	10
72	10.0	10
73	12.0	12
74	14.0	14
75	13.0	13
76	9.0	9
77	9.0	9
78	10.0	10
79	18.0	18
80	15.0	15
81	10.0	10
82	15.0	15
83	11.0	11
84	11.0	11
85	11.0	11
86	15.0	15
87	8.0	8
88	14.0	14
89	43.0	43
90	31.0	31
91	27.0	27
92	21.0	21
93	29.0	29
94	26.0	26
95	24.0	24
96	33.0	33
97	29.0	29
98	24.0	24
99	71.0	71
100	37.0	37
101	46.0	46
102	44.0	44
103	37.0	37
104	56.0	56
105	77.0	77
106	150.0	150
107	98.0	98
108	72.0	72
109	47.0	47
110	101.0	101
111	105.0	105
112	90.0	90
113	200.0	200
114	135.0	135
115	120.0	120
116	123.0	123
117	104.0	104
118	62.0	62
119	200.0	200
120	181.0	181
