TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
17500	TRAINING	0.000499999999905	1	1.0	[ 23.81318092  24.27817154]	[ 23.71857319  24.27817154]	3.10296
18000	TRAINING	0.000499999999905	1	1.0	[ 23.25767136  22.66343117]	[ 23.06455851  22.66343117]	0.0373023
18500	TRAINING	0.000499999999905	0	1.0	[ 21.43785667  21.42513275]	[ 21.43785667  21.40486708]	1.84838
19000	TRAINING	0.000499999999905	1	1.0	[ 19.18873405  19.89385033]	[ 19.18873405  19.76713867]	0.0218986
19500	TRAINING	0.000499999999905	1	1.0	[ 11.8394804   11.78927994]	[ 11.8394804   12.03316622]	0.0197953
20000	TRAINING	0.000499999999905	0	1.0	[ 21.28224754  21.63382912]	[ 21.28224754  21.70052986]	0.275513
20500	TRAINING	0.000499999999905	1	1.0	[ 13.15231037  12.96485996]	[ 13.40795441  12.96485996]	0.619703
21000	TRAINING	0.000499999999905	1	1.0	[ 13.33929825  13.57978916]	[ 13.83312764  13.57978916]	0.11095
21500	TRAINING	0.000499999999905	1	1.0	[ 19.91299438  20.45765114]	[ 19.91299438  20.59352713]	0.0174539
22000	TRAINING	0.000499999999905	1	1.0	[ 20.56904411  20.59080505]	[ 20.56904411  20.4645195 ]	0.0342343
22500	TRAINING	0.000499999999905	0	1.0	[ 20.18988609  20.62426758]	[ 20.18988609  20.71712599]	0.416673
23000	TRAINING	0.000499999999905	1	1.0	[ 22.12599373  22.33468437]	[ 22.11159954  22.33468437]	1.37931
23500	TRAINING	0.000499999999905	0	1.0	[ 19.40203667  19.41094589]	[ 19.51388168  19.41094589]	0.191623
24000	TRAINING	0.000499999999905	0	1.0	[ 21.49581146  21.51016998]	[ 21.49581146  21.59476452]	0.813202
24500	TRAINING	0.000499999999905	0	1.0	[ 20.06175995  19.80542183]	[ 20.04949245  19.80542183]	0.0350765
25000	TRAINING	0.000499999999905	0	1.0	[ 21.65502167  21.3328743 ]	[ 21.59492941  21.3328743 ]	0.0286971
25500	TRAINING	0.000499999999905	0	1.0	[ 22.42420769  22.3448658 ]	[ 22.26006784  22.3448658 ]	0.0136495
26000	TRAINING	0.000499999999905	1	1.0	[ 19.53177071  19.35203934]	[ 19.43385735  19.35203934]	0.921353
26500	TRAINING	0.000499999999905	1	1.0	[ 18.40154076  18.72131729]	[ 18.62495632  18.72131729]	0.315244
27000	TRAINING	0.000499999999905	0	1.0	[ 17.97767639  17.90220261]	[ 17.90965681  17.90220261]	0.0183535
27500	TRAINING	0.000499999999905	0	1.0	[ 21.82662201  21.29766083]	[ 21.82662201  21.7748374 ]	0.0681645
28000	TRAINING	0.000499999999905	1	1.0	[ 11.99771309  11.90729237]	[ 12.40361943  11.90729237]	0.0338574
28500	TRAINING	0.000499999999905	1	1.0	[ 19.614851   20.4144268]	[ 19.614851    20.34774637]	0.0528844
29000	TRAINING	0.000499999999905	1	1.0	[ 21.27773285  19.68733025]	[ 21.31603832  19.68733025]	1.47342
29500	TRAINING	0.000499999999905	1	1.0	[ 16.5381546   16.37599754]	[ 16.52958126  16.37599754]	1.26231
30000	TRAINING	0.000499999999905	1	1.0	[ 21.90480995  21.87586975]	[ 21.90480995  21.74092073]	0.0207265
30500	TRAINING	0.000499999999905	1	1.0	[ 20.63625717  20.76679802]	[ 20.63625717  20.9816843 ]	0.547752
31000	TRAINING	0.000499999999905	0	1.0	[ 22.00358391  22.508255  ]	[ 22.00358391  22.42540932]	0.030221
31500	TRAINING	0.000499999999905	1	1.0	[ 24.25529671  24.32103539]	[ 24.25529671  24.1228878 ]	0.326338
32000	TRAINING	0.000499999999905	1	1.0	[ 20.29728127  20.21162415]	[ 20.10847425  20.21162415]	0.237702
32500	TRAINING	0.000499999999905	1	1.0	[ 8.52941418  9.91729164]	[  8.52941418  10.36153836]	0.556107
33000	TRAINING	0.000499999999905	1	1.0	[ 21.09247017  22.16310692]	[ 21.92585516  22.16310692]	0.0881359
33500	TRAINING	0.000499999999905	1	1.0	[ 20.22524452  20.94847488]	[ 20.22524452  20.99893799]	0.0336784
34000	TRAINING	0.000499999999905	0	1.0	[ 22.23204994  22.58506584]	[ 22.23204994  22.74173412]	0.67084
34500	TRAINING	0.000499999999905	1	1.0	[ 26.27138901  24.75695801]	[ 26.27138901  25.66960945]	2.0475
35000	TRAINING	0.000499999999905	1	1.0	[ 21.79107666  23.92198372]	[ 21.79107666  24.20620995]	0.297989
35500	TRAINING	0.000499999999905	1	1.0	[ 26.83864403  27.64855385]	[ 26.83864403  27.02878742]	1.23187
36000	TRAINING	0.000499999999905	0	1.0	[ 22.76428032  25.10830116]	[ 22.76428032  25.04988289]	0.234526
36500	TRAINING	0.000499999999905	0	1.0	[ 25.23644447  26.42639732]	[ 25.23644447  26.03843822]	1.6574
37000	TRAINING	0.000499999999905	0	1.0	[ 24.37125587  22.08411407]	[ 24.71523714  22.08411407]	0.0824076
37500	TRAINING	0.000499999999905	0	1.0	[ 24.27259827  22.39587593]	[ 24.27259827  22.51534157]	0.0725484
38000	TRAINING	0.000499999999905	0	1.0	[ 21.11414337  19.45673943]	[ 21.72354021  19.45673943]	0.594222
38500	TRAINING	0.000499999999905	0	1.0	[ 22.3232193  22.2937355]	[ 22.3232193   21.96238108]	1.82865
39000	TRAINING	0.000499999999905	0	1.0	[ 18.79614067  19.25489235]	[ 18.79614067  19.21732559]	1.54741
39500	TRAINING	0.000499999999905	0	1.0	[ 21.0433979  21.6075573]	[ 21.0433979   21.77076044]	0.504148
40000	TRAINING	0.000499999999905	0	1.0	[ 20.4184227   20.38654137]	[ 20.56180658  20.38654137]	0.0322397
40500	TRAINING	0.000499999999905	1	1.0	[ 18.70252609  18.70239639]	[ 18.70252609  18.79906597]	1.67029
41000	TRAINING	0.000499999999905	0	1.0	[ 21.36743355  21.18498421]	[ 21.36743355  21.26396742]	0.347255
41500	TRAINING	0.000499999999905	1	1.0	[ 16.83958054  17.62419128]	[ 16.83958054  17.98613873]	0.0335882
42000	TRAINING	0.000499999999905	1	1.0	[ 20.14705467  20.04080391]	[ 20.19833946  20.04080391]	0.00792008
42500	TRAINING	0.000499999999905	0	1.0	[ 21.34717941  21.15547943]	[ 21.31446009  21.15547943]	0.00820421
43000	TRAINING	0.000499999999905	1	1.0	[ 19.74840736  20.07709885]	[ 19.74840736  20.14156466]	0.0161123
43500	TRAINING	0.000499999999905	0	1.0	[ 13.4712944   13.55475426]	[ 13.40684094  13.55475426]	0.0324307
44000	TRAINING	0.000499999999905	1	1.0	[ 20.82397652  20.78976822]	[ 20.78221598  20.78976822]	0.00981652
44500	TRAINING	0.000499999999905	0	1.0	[ 19.18231583  19.08777618]	[ 19.16209822  19.08777618]	0.0145712
45000	TRAINING	0.000499999999905	0	1.0	[ 20.12533379  19.48769188]	[ 20.22448454  19.48769188]	0.109091
45500	TRAINING	0.000499999999905	1	1.0	[ 21.93372726  21.63944244]	[ 21.95869007  21.63944244]	0.0864047
46000	TRAINING	0.000499999999905	1	1.0	[ 19.86222076  20.02749443]	[ 19.9867671   20.02749443]	2.0267
46500	TRAINING	0.000499999999905	1	1.0	[ 20.28198051  20.21283913]	[ 20.28198051  20.25474825]	0.0280815
47000	TRAINING	0.000499999999905	1	1.0	[ 20.25811005  19.77871704]	[ 20.24936848  19.77871704]	0.0137392
47500	TRAINING	0.000499999999905	0	1.0	[ 17.7706871   18.10191345]	[ 18.18209362  18.10191345]	0.0231752
48000	TRAINING	0.000499999999905	0	1.0	[ 22.01771545  22.33480835]	[ 22.19919615  22.33480835]	0.0216522
48500	TRAINING	0.000499999999905	0	1.0	[ 18.93335342  19.66643715]	[ 18.93335342  19.60538673]	0.0226108
49000	TRAINING	0.000499999999905	0	1.0	[ 17.45001221  17.48292732]	[ 17.45001221  17.48754311]	0.838785
49500	TRAINING	0.000499999999905	1	1.0	[ 19.66036797  19.0425396 ]	[ 19.69820728  19.0425396 ]	0.0810007
50000	TRAINING	0.000499999999905	0	1.0	[ 19.41197014  19.24900436]	[ 19.41197014  19.68188496]	0.423356
50500	TRAINING	0.000499999999905	0	1.0	[ 20.77588272  20.92735291]	[ 20.77588272  20.7667326 ]	0.561577
51000	TRAINING	0.000499999999905	1	1.0	[ 17.21611786  17.2220726 ]	[ 17.21611786  17.56291609]	0.146429
51500	TRAINING	0.000499999999905	1	1.0	[ 21.81947327  24.53711128]	[ 21.81947327  25.05869999]	0.103616
52000	TRAINING	0.000499999999905	1	1.0	[ 22.8362484   22.57109261]	[ 22.8362484   22.68380327]	0.198486
52500	TRAINING	0.000499999999905	0	1.0	[ 24.38506889  23.87327385]	[ 24.15502691  23.87327385]	0.527229
53000	TRAINING	0.000499999999905	0	1.0	[ 21.94535065  22.30397797]	[ 22.17249298  22.30397797]	0.147541
53500	TRAINING	0.000499999999905	1	1.0	[ 16.26558304  15.66530228]	[ 16.51264648  15.66530228]	0.0311987
54000	TRAINING	0.000499999999905	1	1.0	[ 18.58833313  18.5501709 ]	[ 18.70264683  18.5501709 ]	1.78945
54500	TRAINING	0.000499999999905	1	1.0	[ 21.02835846  20.8092804 ]	[ 20.90299721  20.8092804 ]	3.10869
55000	TRAINING	0.000499999999905	1	1.0	[ 17.68264008  17.40763474]	[ 17.34998474  17.40763474]	1.08655
55500	TRAINING	0.000499999999905	1	1.0	[ 21.60493469  21.21453285]	[ 21.67509689  21.21453285]	1.03547
56000	TRAINING	0.000499999999905	0	1.0	[ 21.56614876  21.54240036]	[ 21.49593544  21.54240036]	0.0961157
56500	TRAINING	0.000499999999905	1	1.0	[ 20.30788612  19.96396065]	[ 20.29725189  19.96396065]	1.58508
57000	TRAINING	0.000499999999905	0	1.0	[ 18.19547272  18.25255585]	[ 18.48487024  18.25255585]	0.0317572
57500	TRAINING	0.000499999999905	0	1.0	[ 18.78534508  19.18426323]	[ 19.10653744  19.18426323]	1.03693
58000	TRAINING	0.000499999999905	0	1.0	[ 20.80009842  21.25910187]	[ 20.80009842  21.18950949]	0.0178402
58500	TRAINING	0.000499999999905	0	1.0	[ 6.07320929  5.79553175]	[ 6.31704638  5.79553175]	0.00880291
59000	TRAINING	0.000499999999905	0	1.0	[ 21.49774361  21.23541451]	[ 21.49774361  21.39942389]	1.71065
59500	TRAINING	0.000499999999905	0	1.0	[ 20.39485168  19.78414536]	[ 20.59573593  19.78414536]	0.0145827
60000	TRAINING	0.000499999999905	1	1.0	[ 21.3664608   21.07867241]	[ 21.26560907  21.07867241]	2.22044
60500	TRAINING	0.000499999999905	0	1.0	[ 22.72419357  22.29150963]	[ 22.72419357  22.43159361]	2.3104
61000	TRAINING	0.000499999999905	0	1.0	[ 20.74648094  21.40587997]	[ 20.74648094  21.37023649]	0.0142054
61500	TRAINING	0.000499999999905	1	1.0	[ 18.49600029  19.63766479]	[ 18.49600029  19.56494513]	0.0130984
62000	TRAINING	0.000499999999905	0	1.0	[ 20.48818779  20.97962189]	[ 20.48818779  21.03998299]	0.771149
62500	TRAINING	0.000499999999905	0	1.0	[ 20.47649574  20.33629227]	[ 20.33761559  20.33629227]	0.0849864
63000	TRAINING	0.000499999999905	1	1.0	[ 21.23036385  21.54718971]	[ 21.23036385  21.52841339]	0.0117222
63500	TRAINING	0.000499999999905	0	1.0	[ 20.88751221  21.05431747]	[ 20.88751221  21.01663923]	0.465977
64000	TRAINING	0.000499999999905	0	1.0	[ 20.43378258  19.99705315]	[ 20.08699503  19.99705315]	0.0196044
64500	TRAINING	0.000499999999905	0	1.0	[ 20.85213852  21.18130493]	[ 20.88126974  21.18130493]	0.619246
65000	TRAINING	0.000499999999905	0	1.0	[ 21.35296059  21.25361252]	[ 21.35296059  21.25262804]	0.0198594
65500	TRAINING	0.000499999999905	0	1.0	[ 17.30883217  17.41370392]	[ 17.73386383  17.41370392]	0.054699
66000	TRAINING	0.000499999999905	0	1.0	[ 20.70591736  20.96191406]	[ 20.70591736  20.96192646]	0.015773
66500	TRAINING	0.000499999999905	0	1.0	[ 21.19904518  21.08758736]	[ 21.19904518  21.04313946]	1.37001
67000	TRAINING	0.000499999999905	1	1.0	[ 21.96931458  22.21551895]	[ 22.07129021  22.21551895]	0.0251483
67500	TRAINING	0.000499999999905	1	1.0	[ 16.93336487  16.77744102]	[ 16.93336487  17.18815851]	0.0754135
68000	TRAINING	0.000499999999905	1	1.0	[ 17.25494957  17.76889229]	[ 17.84634619  17.76889229]	0.0368336
68500	TRAINING	0.000499999999905	1	1.0	[ 16.56299973  15.41875553]	[ 16.79364128  15.41875553]	0.724272
69000	TRAINING	0.000499999999905	1	1.0	[ 21.0950985  20.997715 ]	[ 21.09375172  20.997715  ]	0.0212887
69500	TRAINING	0.000499999999905	1	1.0	[ 20.62659645  20.46477699]	[ 20.62659645  20.55306377]	1.45508
70000	TRAINING	0.000499999999905	1	1.0	[ 14.93097115  15.13588238]	[ 14.93097115  15.13290162]	0.267419
70500	TRAINING	0.000499999999905	1	1.0	[ 10.04605865   9.74949169]	[ 10.04605865  10.34246092]	0.0467155
71000	TRAINING	0.000499999999905	1	1.0	[ 21.04984474  20.94769669]	[ 21.04984474  20.98218441]	1.4797
71500	TRAINING	0.000499999999905	0	1.0	[ 19.24018288  19.50901985]	[ 19.68103514  19.50901985]	0.134255
72000	TRAINING	0.000499999999905	1	1.0	[ 20.04920959  20.42599869]	[ 20.04920959  20.41968927]	0.0310374
72500	TRAINING	0.000499999999905	0	1.0	[ 21.65827179  21.44293594]	[ 21.57046223  21.44293594]	0.0297993
73000	TRAINING	0.000499999999905	0	1.0	[ 21.24352837  21.08581352]	[ 20.90761957  21.08581352]	0.0473828
73500	TRAINING	0.000499999999905	0	1.0	[ 18.07228661  17.92032814]	[ 18.07228661  17.96797543]	0.913331
74000	TRAINING	0.000499999999905	0	1.0	[ 17.21018791  17.72010612]	[ 17.21018791  17.78042994]	0.0298844
74500	TRAINING	0.000499999999905	0	1.0	[ 21.28479958  21.34517479]	[ 21.23041315  21.34517479]	0.0152688
75000	TRAINING	0.000499999999905	0	1.0	[ 22.73369789  22.85563087]	[ 22.44517078  22.85563087]	0.177386
75500	TRAINING	0.000499999999905	0	1.0	[ 18.81012344  18.70429611]	[ 18.80669985  18.70429611]	0.0145999
76000	TRAINING	0.000499999999905	0	1.0	[ 22.11701393  22.79134369]	[ 22.44531574  22.79134369]	0.0896185
76500	TRAINING	0.000499999999905	1	1.0	[ 21.30768585  21.36718178]	[ 21.30768585  21.03238716]	0.0952699
77000	TRAINING	0.000499999999905	0	1.0	[ 15.23622322  14.32653236]	[ 15.56986089  14.32653236]	0.0286352
77500	TRAINING	0.000499999999905	0	1.0	[ 17.87185097  17.52017975]	[ 17.87185097  17.62098284]	0.479352
78000	TRAINING	0.000499999999905	0	1.0	[ 20.33859444  21.12313461]	[ 20.33859444  20.90823202]	1.09536
78500	TRAINING	0.000499999999905	0	1.0	[ 19.18686867  18.89702415]	[ 19.28972692  18.89702415]	0.0456182
79000	TRAINING	0.000499999999905	0	1.0	[ 13.0840826   15.95126057]	[ 13.0840826  16.5487484]	1.14174
79500	TRAINING	0.000499999999905	1	1.0	[ 20.68709373  20.70474434]	[ 20.75236902  20.70474434]	0.185138
80000	TRAINING	0.000499999999905	1	1.0	[ 21.29019165  20.30288696]	[ 21.33392801  20.30288696]	0.942233
80500	TRAINING	0.000499999999905	1	1.0	[ 21.6082592   21.26990891]	[ 21.6082592   21.43041239]	0.020691
81000	TRAINING	0.000499999999905	1	1.0	[ 21.42555237  20.99188614]	[ 21.39450073  20.99188614]	2.19466
81500	TRAINING	0.000499999999905	1	1.0	[ 19.21156311  19.39930725]	[ 19.21156311  19.27289724]	0.0365054
82000	TRAINING	0.000499999999905	1	1.0	[ 21.28783226  21.07914925]	[ 21.28783226  21.10396585]	1.09272
82500	TRAINING	0.000499999999905	1	1.0	[ 21.78469276  22.01860428]	[ 21.78469276  21.96834793]	1.2706
83000	TRAINING	0.000499999999905	0	1.0	[ 19.74419594  19.60043144]	[ 19.51595097  19.60043144]	1.35459
83500	TRAINING	0.000499999999905	0	1.0	[ 16.18452644  15.60830975]	[ 16.18452644  15.87509274]	1.34834
84000	TRAINING	0.000499999999905	0	1.0	[ 18.61114311  18.39758492]	[ 18.2751008   18.39758492]	0.0343346
84500	TRAINING	0.000499999999905	0	1.0	[ 21.42672157  21.45717239]	[ 21.45341911  21.45717239]	0.0168833
85000	TRAINING	0.000499999999905	1	1.0	[ 15.74667168  14.73803329]	[ 15.74667168  15.01853843]	1.0961
85500	TRAINING	0.000499999999905	1	1.0	[ 21.51374817  20.67775917]	[ 21.40276337  20.67775917]	2.11454
86000	TRAINING	0.000499999999905	0	1.0	[ 21.87984085  21.76398468]	[ 21.71167717  21.76398468]	0.0163954
86500	TRAINING	0.000499999999905	0	1.0	[ 23.05380058  23.02938652]	[ 23.05380058  23.31662683]	1.03263
87000	TRAINING	0.000499999999905	1	1.0	[ 20.74967575  20.79504967]	[ 20.72906332  20.79504967]	0.0945561
87500	TRAINING	0.000499999999905	0	1.0	[ 20.08523369  19.95821571]	[ 20.08523369  19.96737709]	1.2149
88000	TRAINING	0.000499999999905	0	1.0	[ 19.58113289  19.06610489]	[ 19.58113289  19.52484417]	0.030661
88500	TRAINING	0.000499999999905	1	1.0	[ 12.45934296  12.74841404]	[ 12.45934296  12.38269105]	0.495307
89000	TRAINING	0.000499999999905	0	1.0	[ 19.38372993  19.42657852]	[ 19.5192071   19.42657852]	0.0286596
89500	TRAINING	0.000499999999905	1	1.0	[ 19.83815765  20.01726532]	[ 19.83815765  20.01162205]	0.716993
90000	TRAINING	0.000499999999905	1	1.0	[ 19.67188263  20.0732708 ]	[ 19.67188263  20.23312044]	0.0152912
90500	TRAINING	0.000499999999905	1	1.0	[ 19.75684738  19.8018837 ]	[ 19.81411428  19.8018837 ]	0.302295
91000	TRAINING	0.000499999999905	0	1.0	[ 21.07262993  21.72564125]	[ 21.07262993  21.85284138]	0.0592477
91500	TRAINING	0.000499999999905	1	1.0	[ 21.28420448  21.04908562]	[ 21.28420448  20.88152885]	0.0307581
92000	TRAINING	0.000499999999905	1	1.0	[ 5.06260157  5.61461926]	[ 5.06260157  5.9652602 ]	0.0223308
92500	TRAINING	0.000499999999905	0	1.0	[ 20.84836197  21.62769127]	[ 20.84836197  21.85454102]	0.0571735
93000	TRAINING	0.000499999999905	1	1.0	[ 20.85775185  21.07236099]	[ 20.85775185  20.96815968]	0.0272271
93500	TRAINING	0.000499999999905	0	1.0	[ 21.28172493  21.38362694]	[ 21.2925931   21.38362694]	0.0174286
94000	TRAINING	0.000499999999905	1	1.0	[ 19.80521011  19.6071949 ]	[ 19.82678185  19.6071949 ]	0.0168298
94500	TRAINING	0.000499999999905	0	1.0	[ 18.91459465  18.86008644]	[ 18.91459465  19.11759958]	0.156064
95000	TRAINING	0.000499999999905	0	1.0	[ 19.51220512  19.24735069]	[ 19.41501818  19.24735069]	0.0115378
95500	TRAINING	0.000499999999905	1	1.0	[ 19.90124512  19.75097466]	[ 19.93173361  19.75097466]	0.0105543
96000	TRAINING	0.000499999999905	0	1.0	[ 19.53035736  20.03845787]	[ 19.53035736  20.23727169]	0.0815396
96500	TRAINING	0.000499999999905	0	1.0	[ 20.81818199  20.28976631]	[ 20.83189507  20.28976631]	0.0108593
97000	TRAINING	0.000499999999905	0	1.0	[ 18.96982574  19.19348526]	[ 18.96982574  19.03424301]	0.0274772
97500	TRAINING	0.000499999999905	0	1.0	[ 20.6515255   20.68481827]	[ 20.58008404  20.68481827]	0.00991375
98000	TRAINING	0.000499999999905	0	1.0	[ 18.79383469  18.9101696 ]	[ 18.79383469  19.04209433]	0.0587141
98500	TRAINING	0.000499999999905	0	1.0	[ 20.5699749   20.23483086]	[ 20.5339963   20.23483086]	0.15988
99000	TRAINING	0.000499999999905	1	1.0	[ 20.75008965  20.77997017]	[ 20.75008965  20.78087873]	0.0687544
99500	TRAINING	0.000499999999905	0	1.0	[ 21.04703522  21.24204445]	[ 21.14925814  21.24204445]	0.0599277
100000	TRAINING	0.000499999999905	0	1.0	[ 20.43695831  20.50484085]	[ 20.52222385  20.50484085]	0.53625
100500	TRAINING	0.000499999999905	0	1.0	[ 20.78510475  21.15670776]	[ 20.78510475  20.88958311]	0.0195887
101000	TRAINING	0.000499999999905	0	1.0	[ 20.7380619   20.32765007]	[ 20.7380619   20.67271252]	0.0843267
101500	TRAINING	0.000499999999905	0	1.0	[ 21.13439751  21.21926498]	[ 21.13439751  21.13996449]	1.05182
102000	TRAINING	0.000499999999905	1	1.0	[ 20.46113586  20.5009594 ]	[ 20.48853369  20.5009594 ]	0.0352631
102500	TRAINING	0.000499999999905	1	1.0	[ 20.68912697  20.70942497]	[ 20.59773455  20.70942497]	0.0163817
103000	TRAINING	0.000499999999905	1	1.0	[ 20.53833771  20.67070007]	[ 20.53833771  20.57556858]	0.0145387
103500	TRAINING	0.000499999999905	1	1.0	[ 20.51968956  20.413908  ]	[ 20.51968956  20.41978531]	0.0578689
104000	TRAINING	0.000499999999905	0	1.0	[ 20.80827904  20.62142754]	[ 20.80827904  20.70759315]	0.0168823
104500	TRAINING	0.000499999999905	0	1.0	[ 19.14737129  18.8091507 ]	[ 19.2155426  18.8091507]	0.0239272
105000	TRAINING	0.000499999999905	1	1.0	[ 21.29040146  20.81723595]	[ 21.15521774  20.81723595]	0.00602022
105500	TRAINING	0.000499999999905	1	1.0	[ 16.97309685  16.75273323]	[ 16.88759794  16.75273323]	0.0182665
106000	TRAINING	0.000499999999905	0	1.0	[ 20.373806    20.54571724]	[ 20.373806    20.57335796]	0.00689272
106500	TRAINING	0.000499999999905	1	1.0	[ 20.12548637  20.14323235]	[ 20.2525938   20.14323235]	0.0106012
107000	TRAINING	0.000499999999905	1	1.0	[ 20.62993813  20.41615295]	[ 20.62993813  20.56274338]	0.0101194
107500	TRAINING	0.000499999999905	0	1.0	[ 20.06240654  20.23027802]	[ 20.29024496  20.23027802]	0.0103384
108000	TRAINING	0.000499999999905	0	1.0	[ 20.22732353  19.94534874]	[ 20.22405148  19.94534874]	0.00925393
108500	TRAINING	0.000499999999905	1	1.0	[ 20.66741943  20.70020294]	[ 20.66741943  20.72483416]	0.0159356
109000	TRAINING	0.000499999999905	1	1.0	[ 20.94203186  21.12122726]	[ 20.94203186  21.13670292]	0.0225928
109500	TRAINING	0.000499999999905	0	1.0	[ 17.34930801  17.6242218 ]	[ 17.34930801  17.60462608]	0.0134802
110000	TRAINING	0.000499999999905	0	1.0	[ 21.14756203  20.9858017 ]	[ 21.0888195  20.9858017]	0.0301746
110500	TRAINING	0.000499999999905	0	1.0	[ 21.3724823   21.29493523]	[ 21.3724823   21.35845318]	0.0143575
111000	TRAINING	0.000499999999905	0	1.0	[ 20.91648483  20.88336182]	[ 20.90557747  20.88336182]	0.011965
111500	TRAINING	0.000499999999905	0	1.0	[ 20.80980492  21.71522331]	[ 20.80980492  21.54378262]	0.216427
112000	TRAINING	0.000499999999905	1	1.0	[ 8.91843128  8.76898956]	[ 8.91843128  8.79818182]	0.019806
112500	TRAINING	0.000499999999905	1	1.0	[ 20.34530258  20.98605919]	[ 20.34530258  20.87677059]	0.0725281
113000	TRAINING	0.000499999999905	0	1.0	[ 11.84755898  12.98100758]	[ 11.84755898  12.65481529]	0.0363061
113500	TRAINING	0.000499999999905	1	1.0	[ 19.14545059  19.73555565]	[ 19.14545059  19.86489687]	0.0128786
114000	TRAINING	0.000499999999905	1	1.0	[ 20.40022469  20.2720871 ]	[ 20.40022469  20.39318542]	0.0254677
