TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
0	DELAY	0.5	0	1.0	NA	NA	NA
500	DELAY	0.5	1	1.0	NA	NA	NA
1000	EXPLORATION	0.49995005	0	1.0	NA	NA	NA
1500	EXPLORATION	0.47497505	0	1.0	[ 10.82329273  11.31280613]	[ 10.96261511  11.31280613]	1.74893
2000	EXPLORATION	0.45000005	1	1.0	[ 12.13637447  13.14004421]	[ 12.23304133  13.14004421]	1.37841
2500	EXPLORATION	0.42502505	0	1.0	[ 15.03803253  12.40017605]	[ 16.93157835  12.40017605]	0.681741
3000	EXPLORATION	0.40005005	1	1.0	[ 19.19392967  21.14419746]	[ 19.19392967  21.28164511]	1.54812
3500	EXPLORATION	0.37507505	1	1.0	[ 20.75526619  17.46913528]	[ 22.11384096  17.46913528]	0.835416
4000	EXPLORATION	0.35010005	1	1.0	[ 25.47930908  24.16555595]	[ 25.18117905  24.16555595]	0.31527
4500	EXPLORATION	0.32512505	1	1.0	[ 25.8838501   23.56680489]	[ 25.84566154  23.56680489]	1.69604
5000	EXPLORATION	0.30015005	1	1.0	[ 16.61702156  15.65281105]	[ 16.61702156  16.3063488 ]	0.264263
5500	EXPLORATION	0.27517505	1	1.0	[ 24.25799561  24.96010971]	[ 24.25799561  24.43397417]	2.73147
6000	EXPLORATION	0.25020005	0	1.0	[ 22.72038078  23.16111755]	[ 22.72038078  22.97204056]	0.587864
6500	EXPLORATION	0.22522505	1	1.0	[ 13.20238972   9.12500286]	[ 15.23378549   9.12500286]	0.45513
7000	EXPLORATION	0.20025005	0	1.0	[ 19.39242363  19.86547661]	[ 19.60496817  19.86547661]	0.811672
7500	EXPLORATION	0.17527505	1	1.0	[ 20.44692039  20.21410179]	[ 20.34625692  20.21410179]	0.729963
8000	EXPLORATION	0.15030005	0	1.0	[ 18.58814812  19.18501091]	[ 18.7201107   19.18501091]	2.13958
8500	EXPLORATION	0.12532505	1	1.0	[ 21.6588726   21.13992691]	[ 21.43685036  21.13992691]	1.07046
9000	EXPLORATION	0.10035005	0	1.0	[ 20.6420002   20.70410919]	[ 20.56316013  20.70410919]	0.0152277
9500	EXPLORATION	0.0753750499999	1	1.0	[ 20.55646515  21.39763451]	[ 21.14117308  21.39763451]	2.23548
10000	EXPLORATION	0.0504000499999	1	1.0	[ 19.96800613  19.85726166]	[ 19.96800613  19.85672483]	0.0390663
10500	EXPLORATION	0.0254250499999	1	1.0	[ 14.3827858   13.56431198]	[ 14.8274478   13.56431198]	0.0228157
11000	TRAINING	0.000499999999905	1	1.0	[ 19.10873032  19.40269852]	[ 19.4940876   19.40269852]	1.77889
11500	TRAINING	0.000499999999905	0	1.0	[ 19.96533203  19.94304085]	[ 19.96533203  20.04314871]	1.02835
12000	TRAINING	0.000499999999905	1	1.0	[ 18.21315384  18.78873253]	[ 18.21315384  18.40627556]	2.01356
12500	TRAINING	0.000499999999905	0	1.0	[ 20.70833015  20.87732887]	[ 20.70833015  20.88742504]	0.0138782
13000	TRAINING	0.000499999999905	0	1.0	[ 15.56219959  15.49976921]	[ 15.56219959  15.58113594]	0.694054
13500	TRAINING	0.000499999999905	1	1.0	[ 19.76192093  19.91235542]	[ 19.84584751  19.91235542]	0.986381
14000	TRAINING	0.000499999999905	1	1.0	[ 20.3002491   20.33057213]	[ 20.19641333  20.33057213]	1.23527
14500	TRAINING	0.000499999999905	0	1.0	[ 20.77315712  20.38958359]	[ 20.75765457  20.38958359]	0.129682
15000	TRAINING	0.000499999999905	0	1.0	[ 21.49350166  21.67880249]	[ 21.49350166  21.54107914]	1.57877
15500	TRAINING	0.000499999999905	0	1.0	[ 14.07918262  14.15569782]	[ 14.07918262  14.50413146]	0.725339
16000	TRAINING	0.000499999999905	1	1.0	[ 15.79775333  15.76060104]	[ 15.79775333  16.2298542 ]	0.0302509
16500	TRAINING	0.000499999999905	1	1.0	[ 22.09985733  21.2704525 ]	[ 21.9774332  21.2704525]	0.0417371
17000	TRAINING	0.000499999999905	0	1.0	[ 21.66608238  21.56901169]	[ 21.66608238  21.63808355]	0.01689
