EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
396	11	11.0
397	54	54.0
398	28	28.0
399	16	16.0
400	18	18.0
401	52	52.0
402	11	11.0
403	32	32.0
404	14	14.0
405	48	48.0
406	30	30.0
407	30	30.0
408	40	40.0
409	15	15.0
410	64	64.0
411	20	20.0
412	59	59.0
413	18	18.0
414	54	54.0
415	16	16.0
416	16	16.0
417	10	10.0
418	86	86.0
419	26	26.0
420	143	143.0
421	13	13.0
422	48	48.0
423	58	58.0
424	16	16.0
425	48	48.0
426	19	19.0
427	40	40.0
428	62	62.0
429	40	40.0
430	36	36.0
431	16	16.0
432	28	28.0
433	39	39.0
434	19	19.0
435	21	21.0
436	21	21.0
437	17	17.0
438	18	18.0
439	22	22.0
440	10	10.0
441	41	41.0
442	66	66.0
443	54	54.0
444	91	91.0
445	49	49.0
446	28	28.0
447	59	59.0
448	16	16.0
449	17	17.0
450	112	112.0
451	15	15.0
452	79	79.0
453	39	39.0
454	58	58.0
455	28	28.0
456	20	20.0
457	62	62.0
458	47	47.0
459	33	33.0
460	33	33.0
461	38	38.0
462	55	55.0
463	35	35.0
464	90	90.0
465	16	16.0
466	78	78.0
467	14	14.0
468	30	30.0
469	41	41.0
470	45	45.0
471	76	76.0
472	105	105.0
473	30	30.0
474	70	70.0
475	49	49.0
476	21	21.0
477	50	50.0
478	77	77.0
479	23	23.0
480	97	97.0
481	23	23.0
482	78	78.0
483	15	15.0
484	128	128.0
485	31	31.0
486	56	56.0
487	46	46.0
488	43	43.0
489	51	51.0
490	43	43.0
491	42	42.0
492	25	25.0
493	57	57.0
494	24	24.0
495	31	31.0
496	51	51.0
497	100	100.0
498	39	39.0
499	55	55.0
500	116	116.0
501	70	70.0
502	18	18.0
503	83	83.0
504	46	46.0
505	56	56.0
506	81	81.0
507	17	17.0
508	32	32.0
509	23	23.0
510	60	60.0
511	34	34.0
512	25	25.0
513	19	19.0
514	31	31.0
515	43	43.0
516	96	96.0
517	30	30.0
518	150	150.0
519	30	30.0
520	64	64.0
521	53	53.0
522	102	102.0
523	47	47.0
524	84	84.0
525	58	58.0
526	67	67.0
527	86	86.0
528	48	48.0
529	41	41.0
530	96	96.0
531	32	32.0
532	42	42.0
533	26	26.0
534	22	22.0
535	47	47.0
536	29	29.0
537	42	42.0
538	19	19.0
539	19	19.0
540	66	66.0
541	43	43.0
542	42	42.0
543	27	27.0
544	75	75.0
545	44	44.0
546	42	42.0
547	70	70.0
548	24	24.0
549	62	62.0
550	50	50.0
551	42	42.0
552	58	58.0
553	100	100.0
554	43	43.0
555	50	50.0
556	45	45.0
557	46	46.0
558	45	45.0
559	49	49.0
560	30	30.0
561	107	107.0
562	12	12.0
563	93	93.0
564	23	23.0
565	33	33.0
566	78	78.0
567	121	121.0
568	64	64.0
569	121	121.0
570	61	61.0
571	44	44.0
572	28	28.0
573	49	49.0
574	47	47.0
575	92	92.0
576	30	30.0
577	122	122.0
578	22	22.0
579	109	109.0
580	29	29.0
581	67	67.0
582	96	96.0
583	37	37.0
584	108	108.0
585	73	73.0
586	29	29.0
587	70	70.0
588	21	21.0
589	61	61.0
590	28	28.0
591	55	55.0
592	36	36.0
593	43	43.0
594	38	38.0
595	28	28.0
596	79	79.0
597	23	23.0
598	67	67.0
599	46	46.0
600	83	83.0
601	23	23.0
602	58	58.0
603	26	26.0
604	33	33.0
605	32	32.0
606	35	35.0
607	26	26.0
608	21	21.0
609	25	25.0
610	42	42.0
611	32	32.0
612	20	20.0
613	12	12.0
614	27	27.0
615	53	53.0
616	14	14.0
617	27	27.0
618	51	51.0
619	16	16.0
620	23	23.0
621	38	38.0
622	33	33.0
623	22	22.0
624	36	36.0
625	36	36.0
626	40	40.0
627	48	48.0
628	52	52.0
629	34	34.0
630	27	27.0
631	52	52.0
632	32	32.0
633	50	50.0
634	72	72.0
635	17	17.0
636	41	41.0
637	49	49.0
638	82	82.0
639	46	46.0
640	65	65.0
641	33	33.0
642	34	34.0
643	70	70.0
644	45	45.0
645	23	23.0
646	19	19.0
647	32	32.0
648	40	40.0
649	68	68.0
650	49	49.0
651	110	110.0
652	87	87.0
653	92	92.0
654	69	69.0
655	91	91.0
656	68	68.0
657	97	97.0
658	55	55.0
659	49	49.0
660	116	116.0
661	117	117.0
662	70	70.0
663	12	12.0
664	15	15.0
665	44	44.0
666	13	13.0
667	78	78.0
668	105	105.0
669	73	73.0
670	81	81.0
671	42	42.0
672	66	66.0
673	170	170.0
674	75	75.0
675	42	42.0
676	136	136.0
677	58	58.0
678	47	47.0
679	19	19.0
680	86	86.0
681	142	142.0
682	67	67.0
683	36	36.0
684	51	51.0
685	55	55.0
686	103	103.0
687	83	83.0
688	38	38.0
689	87	87.0
690	75	75.0
691	47	47.0
692	38	38.0
693	61	61.0
694	65	65.0
695	106	106.0
696	74	74.0
697	31	31.0
698	89	89.0
699	22	22.0
700	109	109.0
701	40	40.0
702	75	75.0
703	31	31.0
704	28	28.0
705	48	48.0
706	63	63.0
707	77	77.0
708	122	122.0
709	68	68.0
710	97	97.0
711	31	31.0
712	88	88.0
713	128	128.0
714	58	58.0
715	82	82.0
716	38	38.0
717	42	42.0
718	109	109.0
719	87	87.0
720	22	22.0
721	61	61.0
722	111	111.0
723	58	58.0
724	122	122.0
725	132	132.0
726	34	34.0
727	37	37.0
728	63	63.0
729	92	92.0
730	79	79.0
731	80	80.0
732	73	73.0
733	71	71.0
734	85	85.0
735	79	79.0
736	68	68.0
737	124	124.0
738	63	63.0
739	66	66.0
740	127	127.0
741	113	113.0
742	23	23.0
743	127	127.0
744	69	69.0
745	102	102.0
746	85	85.0
747	200	200.0
748	149	149.0
749	117	117.0
750	73	73.0
751	154	154.0
752	76	76.0
753	66	66.0
754	75	75.0
755	200	200.0
756	19	19.0
757	122	122.0
758	198	198.0
759	120	120.0
760	73	73.0
761	200	200.0
762	117	117.0
763	169	169.0
764	79	79.0
765	149	149.0
766	94	94.0
767	162	162.0
768	40	40.0
769	82	82.0
770	118	118.0
771	133	133.0
772	196	196.0
773	116	116.0
774	200	200.0
775	61	61.0
776	73	73.0
777	194	194.0
778	163	163.0
779	175	175.0
780	200	200.0
781	109	109.0
782	200	200.0
783	107	107.0
784	91	91.0
785	200	200.0
786	154	154.0
787	200	200.0
788	154	154.0
789	178	178.0
790	137	137.0
791	119	119.0
792	132	132.0
793	152	152.0
794	139	139.0
795	200	200.0
796	132	132.0
797	200	200.0
798	129	129.0
799	155	155.0
800	200	200.0
801	127	127.0
802	147	147.0
803	28	28.0
804	68	68.0
805	169	169.0
806	200	200.0
807	73	73.0
808	200	200.0
809	141	141.0
810	193	193.0
811	75	75.0
812	200	200.0
813	200	200.0
814	173	173.0
815	111	111.0
816	200	200.0
817	46	46.0
818	190	190.0
819	128	128.0
820	139	139.0
821	83	83.0
822	74	74.0
823	159	159.0
824	84	84.0
825	138	138.0
826	46	46.0
827	200	200.0
828	51	51.0
829	74	74.0
830	120	120.0
831	69	69.0
832	169	169.0
833	137	137.0
834	129	129.0
835	107	107.0
836	68	68.0
837	151	151.0
838	156	156.0
839	155	155.0
840	183	183.0
841	200	200.0
842	161	161.0
843	200	200.0
844	164	164.0
845	70	70.0
846	200	200.0
847	200	200.0
848	200	200.0
849	200	200.0
850	200	200.0
851	200	200.0
852	200	200.0
853	61	61.0
854	200	200.0
855	129	129.0
856	128	128.0
857	200	200.0
858	63	63.0
859	193	193.0
860	35	35.0
861	133	133.0
862	104	104.0
863	200	200.0
864	200	200.0
865	182	182.0
866	192	192.0
867	167	167.0
868	107	107.0
869	133	133.0
870	137	137.0
871	126	126.0
872	136	136.0
873	102	102.0
874	160	160.0
875	142	142.0
876	96	96.0
877	129	129.0
878	157	157.0
879	138	138.0
880	137	137.0
881	200	200.0
882	93	93.0
883	94	94.0
884	200	200.0
885	200	200.0
886	194	194.0
887	200	200.0
888	200	200.0
889	200	200.0
890	200	200.0
891	143	143.0
892	200	200.0
893	146	146.0
894	200	200.0
895	138	138.0
896	200	200.0
897	103	103.0
898	78	78.0
899	122	122.0
900	84	84.0
901	157	157.0
902	108	108.0
903	110	110.0
904	171	171.0
905	142	142.0
906	200	200.0
907	152	152.0
908	190	190.0
909	151	151.0
910	115	115.0
911	174	174.0
912	185	185.0
913	200	200.0
914	178	178.0
915	188	188.0
916	122	122.0
917	139	139.0
918	200	200.0
919	200	200.0
920	200	200.0
921	167	167.0
922	188	188.0
923	89	89.0
924	103	103.0
925	173	173.0
926	200	200.0
927	189	189.0
928	86	86.0
