EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
396	18	18.0
397	200	200.0
398	160	160.0
399	200	200.0
400	200	200.0
401	63	63.0
402	200	200.0
403	200	200.0
404	172	172.0
405	200	200.0
406	200	200.0
407	200	200.0
408	200	200.0
409	200	200.0
410	200	200.0
411	200	200.0
412	200	200.0
413	200	200.0
414	200	200.0
415	200	200.0
416	200	200.0
417	200	200.0
418	200	200.0
419	200	200.0
420	200	200.0
421	200	200.0
422	159	159.0
423	200	200.0
424	200	200.0
425	200	200.0
426	200	200.0
427	200	200.0
428	200	200.0
429	200	200.0
430	191	191.0
431	200	200.0
432	143	143.0
433	18	18.0
434	135	135.0
435	122	122.0
436	147	147.0
437	134	134.0
438	17	17.0
439	22	22.0
440	12	12.0
441	16	16.0
442	13	13.0
443	12	12.0
444	13	13.0
445	104	104.0
446	140	140.0
447	200	200.0
448	200	200.0
449	56	56.0
450	200	200.0
451	200	200.0
452	200	200.0
453	200	200.0
454	200	200.0
455	200	200.0
456	200	200.0
457	200	200.0
458	166	166.0
459	117	117.0
460	96	96.0
461	15	15.0
462	23	23.0
463	14	14.0
464	17	17.0
465	19	19.0
466	18	18.0
467	26	26.0
468	18	18.0
469	17	17.0
470	14	14.0
471	20	20.0
472	11	11.0
473	32	32.0
474	32	32.0
475	22	22.0
476	108	108.0
477	200	200.0
478	200	200.0
479	200	200.0
480	200	200.0
481	171	171.0
482	200	200.0
483	200	200.0
484	200	200.0
485	200	200.0
486	200	200.0
487	200	200.0
488	200	200.0
489	164	164.0
490	114	114.0
491	29	29.0
492	18	18.0
493	19	19.0
494	19	19.0
495	19	19.0
496	16	16.0
497	13	13.0
498	18	18.0
499	29	29.0
500	33	33.0
501	22	22.0
502	133	133.0
503	27	27.0
504	197	197.0
505	200	200.0
506	200	200.0
507	200	200.0
508	200	200.0
509	200	200.0
510	167	167.0
511	183	183.0
512	159	159.0
513	107	107.0
514	35	35.0
515	31	31.0
516	61	61.0
517	99	99.0
518	111	111.0
519	22	22.0
520	114	114.0
521	115	115.0
522	104	104.0
523	116	116.0
524	131	131.0
525	112	112.0
526	30	30.0
527	128	128.0
528	138	138.0
529	140	140.0
530	132	132.0
531	145	145.0
532	136	136.0
533	162	162.0
534	162	162.0
535	157	157.0
536	153	153.0
537	135	135.0
538	132	132.0
539	110	110.0
540	102	102.0
541	22	22.0
542	38	38.0
543	115	115.0
544	21	21.0
545	175	175.0
546	200	200.0
547	200	200.0
548	200	200.0
549	200	200.0
550	200	200.0
551	200	200.0
552	200	200.0
553	200	200.0
554	200	200.0
555	200	200.0
556	200	200.0
557	200	200.0
558	200	200.0
559	200	200.0
560	200	200.0
561	200	200.0
562	200	200.0
563	200	200.0
564	200	200.0
565	200	200.0
566	200	200.0
567	200	200.0
568	200	200.0
569	200	200.0
570	30	30.0
571	121	121.0
572	28	28.0
573	36	36.0
574	30	30.0
575	36	36.0
576	27	27.0
577	18	18.0
578	16	16.0
579	23	23.0
580	24	24.0
581	17	17.0
582	102	102.0
583	55	55.0
584	118	118.0
585	29	29.0
586	189	189.0
587	200	200.0
588	200	200.0
589	200	200.0
590	200	200.0
591	200	200.0
592	200	200.0
593	200	200.0
594	200	200.0
595	200	200.0
596	200	200.0
597	183	183.0
598	179	179.0
599	165	165.0
600	40	40.0
601	47	47.0
602	28	28.0
603	28	28.0
604	21	21.0
605	22	22.0
606	98	98.0
607	27	27.0
608	200	200.0
609	200	200.0
610	200	200.0
611	200	200.0
612	200	200.0
613	200	200.0
614	200	200.0
615	200	200.0
616	200	200.0
617	200	200.0
618	200	200.0
619	200	200.0
620	200	200.0
621	186	186.0
622	174	174.0
623	162	162.0
624	146	146.0
625	178	178.0
626	200	200.0
627	155	155.0
628	119	119.0
629	142	142.0
630	118	118.0
631	122	122.0
632	170	170.0
633	165	165.0
634	176	176.0
635	170	170.0
636	171	171.0
637	161	161.0
638	161	161.0
639	170	170.0
640	152	152.0
641	187	187.0
642	173	173.0
643	200	200.0
644	200	200.0
645	200	200.0
646	200	200.0
647	200	200.0
648	200	200.0
649	200	200.0
650	200	200.0
651	200	200.0
652	170	170.0
653	12	12.0
654	38	38.0
655	44	44.0
656	51	51.0
657	31	31.0
658	17	17.0
659	37	37.0
660	200	200.0
661	200	200.0
662	200	200.0
663	200	200.0
664	200	200.0
665	200	200.0
666	200	200.0
667	200	200.0
668	157	157.0
669	200	200.0
670	200	200.0
671	200	200.0
672	200	200.0
673	200	200.0
674	200	200.0
675	200	200.0
676	171	171.0
677	196	196.0
678	37	37.0
679	144	144.0
680	200	200.0
681	89	89.0
682	200	200.0
683	200	200.0
684	200	200.0
685	200	200.0
686	200	200.0
687	200	200.0
688	200	200.0
689	200	200.0
690	46	46.0
691	200	200.0
692	200	200.0
693	183	183.0
694	183	183.0
695	200	200.0
696	200	200.0
697	99	99.0
698	199	199.0
699	200	200.0
700	200	200.0
701	200	200.0
702	191	191.0
703	200	200.0
704	200	200.0
705	200	200.0
706	92	92.0
707	109	109.0
708	171	171.0
709	153	153.0
710	25	25.0
711	16	16.0
712	152	152.0
713	200	200.0
714	200	200.0
715	200	200.0
716	200	200.0
717	199	199.0
718	87	87.0
719	28	28.0
720	68	68.0
721	26	26.0
722	75	75.0
723	47	47.0
724	66	66.0
725	168	168.0
726	29	29.0
727	17	17.0
728	24	24.0
729	18	18.0
730	30	30.0
731	129	129.0
732	137	137.0
733	23	23.0
734	164	164.0
735	159	159.0
736	190	190.0
737	200	200.0
738	200	200.0
739	200	200.0
740	184	184.0
741	200	200.0
742	200	200.0
743	200	200.0
744	200	200.0
745	200	200.0
746	125	125.0
747	15	15.0
748	10	10.0
749	11	11.0
750	12	12.0
751	25	25.0
752	15	15.0
753	18	18.0
754	37	37.0
755	174	174.0
756	200	200.0
757	69	69.0
758	200	200.0
759	200	200.0
760	200	200.0
761	200	200.0
762	200	200.0
763	200	200.0
764	200	200.0
765	200	200.0
766	200	200.0
767	157	157.0
768	145	145.0
769	141	141.0
770	140	140.0
771	152	152.0
772	144	144.0
773	179	179.0
774	148	148.0
775	159	159.0
776	171	171.0
777	139	139.0
778	200	200.0
779	141	141.0
780	173	173.0
781	174	174.0
782	200	200.0
783	200	200.0
784	172	172.0
785	191	191.0
786	179	179.0
787	187	187.0
788	194	194.0
789	178	178.0
790	180	180.0
791	195	195.0
792	200	200.0
793	200	200.0
794	186	186.0
795	185	185.0
796	147	147.0
797	200	200.0
798	200	200.0
799	200	200.0
800	200	200.0
801	186	186.0
802	147	147.0
803	182	182.0
804	187	187.0
805	200	200.0
806	200	200.0
807	200	200.0
808	200	200.0
809	200	200.0
810	200	200.0
811	200	200.0
812	200	200.0
813	200	200.0
814	79	79.0
815	200	200.0
816	200	200.0
817	200	200.0
818	200	200.0
819	154	154.0
820	170	170.0
821	25	25.0
822	164	164.0
823	33	33.0
824	178	178.0
825	23	23.0
826	11	11.0
827	46	46.0
828	20	20.0
829	20	20.0
830	21	21.0
831	190	190.0
832	175	175.0
833	200	200.0
834	200	200.0
835	200	200.0
836	200	200.0
837	200	200.0
838	200	200.0
839	72	72.0
840	200	200.0
841	200	200.0
842	200	200.0
843	198	198.0
844	18	18.0
845	170	170.0
846	40	40.0
847	18	18.0
848	31	31.0
