TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
0	DELAY	0.5	1	1.0	NA	NA	NA
500	DELAY	0.5	1	1.0	NA	NA	NA
1000	EXPLORATION	0.499951	0	1.0	NA	NA	NA
1500	EXPLORATION	0.475451	1	1.0	[ 0.10124169  0.3934052 ]	[ 0.10124169  1.45180116]	0.757101
2000	EXPLORATION	0.450951	0	1.0	[ 0.3093814   0.91390675]	[ 1.63321639  0.91390675]	0.742892
2500	EXPLORATION	0.426451	1	1.0	[ 1.94645321  0.95349109]	[ 3.13264155  0.95349109]	0.777535
3000	EXPLORATION	0.401951	1	1.0	[ 1.81583464  3.29650521]	[ 3.56072769  3.29650521]	1.60858
3500	EXPLORATION	0.377451	1	1.0	[ 1.4099772   2.16036582]	[ 1.4099772   3.24953909]	1.69268
4000	EXPLORATION	0.352951	1	1.0	[ 2.36500788  3.57119751]	[ 2.36500788  4.74234161]	0.752767
4500	EXPLORATION	0.328451	1	1.0	[ 4.40242815  5.75981283]	[ 4.40242815  1.        ]	1.9608
5000	EXPLORATION	0.303951	1	1.0	[ 5.9961133   7.18149185]	[ 5.9961133  1.       ]	3.48419
5500	EXPLORATION	0.279451	1	1.0	[ 3.95893407  5.00575829]	[ 3.95893407  5.82887487]	1.26899
6000	EXPLORATION	0.254951	0	1.0	[ 4.74527502  5.47292852]	[ 4.74527502  6.14010811]	1.47844
6500	EXPLORATION	0.230451	1	1.0	[ 5.15332699  5.28806257]	[ 5.15332699  5.88986616]	1.74172
7000	EXPLORATION	0.205951	1	1.0	[ 4.23429251  5.40484858]	[ 4.23429251  5.81012087]	0.86506
7500	EXPLORATION	0.181451	1	1.0	[ 4.46999979  5.85350418]	[ 4.46999979  6.15196218]	0.756383
8000	EXPLORATION	0.156951	1	1.0	[ 4.17360973  4.22209644]	[ 1.          4.22209644]	0.796696
8500	EXPLORATION	0.132451	1	1.0	[ 5.30661535  6.44019842]	[ 5.30661535  6.61587405]	0.414176
9000	EXPLORATION	0.107951	0	1.0	[ 3.91564798  4.71603346]	[ 3.91564798  4.81982999]	0.487412
9500	EXPLORATION	0.0834509999999	0	1.0	[ 5.2005167  6.4135437]	[ 5.2005167  6.4116322]	0.330443
10000	EXPLORATION	0.0589509999999	1	1.0	[ 3.10984659  3.34023571]	[ 3.10984659  1.        ]	0.325232
10500	EXPLORATION	0.0344509999999	1	1.0	[ 5.78835297  6.63669872]	[ 5.78835297  6.66671457]	0.0772348
11000	TRAINING	0.00999999999992	1	1.0	[ 2.45793176  2.64012504]	[ 2.45793176  2.85711067]	0.109241
11500	TRAINING	0.00999999999992	1	1.0	[ 2.87160373  3.1733458 ]	[ 2.87160373  3.23310809]	0.101674
12000	TRAINING	0.00999999999992	1	1.0	[ 3.39151144  3.77949929]	[ 3.39151144  3.7968462 ]	0.0338651
12500	TRAINING	0.00999999999992	1	1.0	[ 5.62131071  6.11085558]	[ 5.62131071  6.1459609 ]	0.0627063
13000	TRAINING	0.00999999999992	1	1.0	[ 2.75459766  3.05492187]	[ 2.75459766  3.12064693]	0.0449594
13500	TRAINING	0.00999999999992	1	1.0	[ 5.06977797  5.53964663]	[ 5.06977797  5.50273886]	0.0193954
14000	TRAINING	0.00999999999992	1	1.0	[ 2.66641521  2.81171656]	[ 2.66641521  2.86808841]	0.0190783
14500	TRAINING	0.00999999999992	1	1.0	[ 5.73527813  6.06031704]	[ 5.73527813  6.00364161]	0.0332279
15000	TRAINING	0.00999999999992	1	1.0	[ 2.84399652  2.93119574]	[ 2.84399652  2.99418335]	0.0562108
15500	TRAINING	0.00999999999992	1	1.0	[ 3.80485249  3.96126056]	[ 3.80485249  3.99258244]	0.101097
16000	TRAINING	0.00999999999992	0	1.0	[ 4.0185523   4.31089973]	[ 4.0185523   4.31523201]	0.0315098
16500	TRAINING	0.00999999999992	1	1.0	[ 1.75052094  1.77313006]	[ 1.75052094  1.        ]	0.0130044
17000	TRAINING	0.00999999999992	1	1.0	[ 1.7270422   1.75122666]	[ 1.7270422   1.94482894]	0.0387509
17500	TRAINING	0.00999999999992	1	1.0	[ 5.48638201  5.82426548]	[ 5.48638201  5.78621316]	0.0101307
18000	TRAINING	0.00999999999992	0	1.0	[ 2.63769174  2.73787212]	[ 2.63769174  2.79984668]	0.0239582
18500	TRAINING	0.00999999999992	1	1.0	[ 2.7970202   2.99309397]	[ 2.7970202   3.01330407]	0.02451
19000	TRAINING	0.00999999999992	1	1.0	[ 3.80584574  4.05515957]	[ 3.80584574  4.05451679]	0.0501842
19500	TRAINING	0.00999999999992	0	1.0	[ 1.93470931  1.71423888]	[ 1.          1.71423888]	0.123902
