TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
23500	TRAINING	0.000100000000002	0	1.0	[ 20.4709301   20.40803528]	[ 20.4709301   20.50675316]	1.79793
24000	TRAINING	0.000100000000002	0	1.0	[ 20.99310875  19.90976715]	[ 20.99416161  19.90976715]	0.0276377
24500	TRAINING	0.000100000000002	0	1.0	[ 22.06284332  21.62747574]	[ 21.93980923  21.62747574]	0.906181
25000	TRAINING	0.000100000000002	0	1.0	[ 13.6556139  13.8108139]	[ 13.97688208  13.8108139 ]	0.596793
25500	TRAINING	0.000100000000002	0	1.0	[ 11.37239265  11.48745918]	[ 11.37239265  12.03257461]	0.0203207
26000	TRAINING	0.000100000000002	0	1.0	[ 21.09536362  21.11889076]	[ 21.09536362  21.13889542]	0.0240731
26500	TRAINING	0.000100000000002	1	1.0	[ 19.58573151  19.19665909]	[ 19.59069519  19.19665909]	0.00943418
27000	TRAINING	0.000100000000002	0	1.0	[ 16.5104847   16.60471344]	[ 16.5104847   16.73252316]	0.0233398
27500	TRAINING	0.000100000000002	0	1.0	[ 18.99382401  19.51536179]	[ 19.64808969  19.51536179]	1.09229
28000	TRAINING	0.000100000000002	0	1.0	[ 20.14261818  19.75074005]	[ 20.08022547  19.75074005]	0.020382
28500	TRAINING	0.000100000000002	1	1.0	[ 20.56292152  20.4210968 ]	[ 20.55166492  20.4210968 ]	0.0128598
29000	TRAINING	0.000100000000002	0	1.0	[ 18.36919403  17.98485947]	[ 18.52640448  17.98485947]	0.0231786
29500	TRAINING	0.000100000000002	0	1.0	[ 20.15699387  20.52044487]	[ 20.15699387  20.57312059]	1.24805
30000	TRAINING	0.000100000000002	1	1.0	[ 21.57620239  22.1013031 ]	[ 21.57620239  21.8783287 ]	0.028993
30500	TRAINING	0.000100000000002	1	1.0	[ 19.83940506  19.90017891]	[ 19.83940506  19.87834539]	1.03739
31000	TRAINING	0.000100000000002	1	1.0	[ 19.14648247  17.70074654]	[ 19.14648247  18.78546705]	1.58987
31500	TRAINING	0.000100000000002	1	1.0	[ 20.57967758  20.68484497]	[ 20.57967758  20.81604567]	0.0868817
32000	TRAINING	0.000100000000002	0	1.0	[ 15.9042635   15.73388672]	[ 15.9042635   15.63131876]	2.06889
32500	TRAINING	0.000100000000002	0	1.0	[ 17.71943855  16.48913193]	[ 18.21273966  16.48913193]	0.0884022
33000	TRAINING	0.000100000000002	0	1.0	[ 14.66722965  14.35836601]	[ 14.72299614  14.35836601]	0.0547518
33500	TRAINING	0.000100000000002	1	1.0	[ 12.68338299  12.78321457]	[ 12.68338299  13.15741448]	0.0576698
34000	TRAINING	0.000100000000002	1	1.0	[ 16.07577133  16.7541275 ]	[ 16.07577133  17.02176247]	0.0353281
34500	TRAINING	0.000100000000002	0	1.0	[ 12.18141842  12.13087749]	[ 11.92674675  12.13087749]	0.0289077
35000	TRAINING	0.000100000000002	1	1.0	[ 21.90748405  21.28435707]	[ 21.77229156  21.28435707]	0.168504
35500	TRAINING	0.000100000000002	1	1.0	[ 315.55236816  340.17947388]	[ 315.55236816  342.66302948]	696.132
36000	TRAINING	0.000100000000002	0	1.0	[ 33.81809616  34.46079254]	[ 33.2262125   34.46079254]	2.40453
36500	TRAINING	0.000100000000002	0	1.0	[ 19.22452164  23.03403091]	[ 19.22452164  22.84938755]	0.397479
37000	TRAINING	0.000100000000002	0	1.0	[ 21.81729889  22.21565437]	[ 21.81729889  21.63475132]	0.916648
37500	TRAINING	0.000100000000002	1	1.0	[ 15.23458481  15.45058632]	[ 16.24048328  15.45058632]	1.48425
38000	TRAINING	0.000100000000002	0	1.0	[ 21.33227348  22.24868202]	[ 21.33227348  22.09781036]	0.0913559
38500	TRAINING	0.000100000000002	0	1.0	[ 16.35060883  17.21014023]	[ 16.35060883  16.76603031]	0.070616
39000	TRAINING	0.000100000000002	1	1.0	[ 21.84251404  22.29389763]	[ 21.84251404  22.17630901]	0.0487945
39500	TRAINING	0.000100000000002	0	1.0	[ 17.33730888  16.94680023]	[ 17.50858746  16.94680023]	0.048326
40000	TRAINING	0.000100000000002	1	1.0	[ 16.80869293  16.65175819]	[ 17.20901623  16.65175819]	0.25447
40500	TRAINING	0.000100000000002	0	1.0	[ 19.79656982  20.64633179]	[ 19.79656982  20.34249706]	0.0520006
41000	TRAINING	0.000100000000002	1	1.0	[ 19.15155029  20.05622292]	[ 19.15155029  19.61794558]	0.114101
41500	TRAINING	0.000100000000002	0	1.0	[ 20.00253868  20.08753967]	[ 20.00253868  20.05712814]	0.0188334
42000	TRAINING	0.000100000000002	1	1.0	[ 19.86532211  19.50353241]	[ 19.92826548  19.50353241]	0.0173967
42500	TRAINING	0.000100000000002	0	1.0	[ 19.85768509  19.91954994]	[ 20.07497797  19.91954994]	0.101844
43000	TRAINING	0.000100000000002	1	1.0	[ 20.82567024  21.01457405]	[ 20.82567024  20.80555611]	0.0147764
43500	TRAINING	0.000100000000002	1	1.0	[ 19.94900131  19.02391624]	[ 19.90646915  19.02391624]	0.0176918
44000	TRAINING	0.000100000000002	1	1.0	[ 20.34254837  21.37411118]	[ 20.34254837  21.21952314]	0.0224093
44500	TRAINING	0.000100000000002	0	1.0	[ 20.16851616  20.47642136]	[ 20.16851616  20.55307283]	0.0196176
45000	TRAINING	0.000100000000002	0	1.0	[ 32.67001343  33.42045593]	[ 32.67001343  32.99806595]	0.173614
45500	TRAINING	0.000100000000002	1	1.0	[ 20.02733803  21.33944893]	[ 20.02733803  21.3409132 ]	0.125636
46000	TRAINING	0.000100000000002	0	1.0	[ 20.15683174  20.11808395]	[ 20.27317429  20.11808395]	0.304747
46500	TRAINING	0.000100000000002	1	1.0	[ 21.94329834  19.87106514]	[ 21.67015562  19.87106514]	0.101941
47000	TRAINING	0.000100000000002	1	1.0	[ 22.3506794   22.39030457]	[ 22.3506794   22.02116356]	1.33058
47500	TRAINING	0.000100000000002	1	1.0	[ 9.56707096  9.12545586]	[ 9.76190124  9.12545586]	0.55393
48000	TRAINING	0.000100000000002	1	1.0	[ 20.92308807  20.79712296]	[ 20.92308807  21.03938503]	1.09308
48500	TRAINING	0.000100000000002	1	1.0	[ 20.98656273  20.86114311]	[ 20.98656273  20.96304808]	0.0285141
49000	TRAINING	0.000100000000002	1	1.0	[ 21.47478104  21.58686066]	[ 21.47478104  21.61925163]	0.458179
49500	TRAINING	0.000100000000002	1	1.0	[ 18.68428612  18.93027115]	[ 18.68428612  18.57782125]	0.0490311
50000	TRAINING	0.000100000000002	1	1.0	[ 20.85499763  20.55723381]	[ 20.85499763  20.71458015]	0.209581
50500	TRAINING	0.000100000000002	1	1.0	[ 19.77496338  19.71150398]	[ 19.88548098  19.71150398]	0.0343539
51000	TRAINING	0.000100000000002	0	1.0	[ 19.9916954   19.74287033]	[ 19.79763794  19.74287033]	0.671921
51500	TRAINING	0.000100000000002	0	1.0	[ 19.01095581  18.7733078 ]	[ 18.7048502  18.7733078]	0.0445822
52000	TRAINING	0.000100000000002	1	1.0	[ 19.49528503  19.35240936]	[ 19.49528503  19.49054518]	0.42199
52500	TRAINING	0.000100000000002	0	1.0	[ 21.4411869  21.3866024]	[ 21.4411869   21.29941883]	1.79051
53000	TRAINING	0.000100000000002	1	1.0	[ 23.62516785  23.77895927]	[ 23.52582369  23.77895927]	0.0225407
53500	TRAINING	0.000100000000002	0	1.0	[ 19.57397652  20.15165138]	[ 19.57397652  20.24519186]	0.0416669
54000	TRAINING	0.000100000000002	0	1.0	[ 22.70821762  22.48898125]	[ 22.68046017  22.48898125]	0.288902
54500	TRAINING	0.000100000000002	0	1.0	[ 17.90406418  18.28568077]	[ 17.90406418  18.25939093]	0.0395683
