EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
396	200.0	200
397	200.0	200
398	200.0	200
399	200.0	200
400	200.0	200
401	200.0	200
402	200.0	200
403	200.0	200
404	200.0	200
405	200.0	200
406	28.0	28
407	200.0	200
408	200.0	200
409	200.0	200
410	200.0	200
411	200.0	200
412	200.0	200
413	200.0	200
414	200.0	200
415	70.0	70
416	200.0	200
417	106.0	106
418	200.0	200
419	200.0	200
420	200.0	200
421	200.0	200
422	200.0	200
423	200.0	200
424	200.0	200
425	198.0	198
426	200.0	200
427	200.0	200
428	200.0	200
429	142.0	142
430	134.0	134
431	200.0	200
432	160.0	160
433	200.0	200
434	200.0	200
435	200.0	200
436	175.0	175
437	200.0	200
438	200.0	200
439	165.0	165
440	167.0	167
441	151.0	151
442	157.0	157
443	153.0	153
444	200.0	200
445	200.0	200
446	91.0	91
447	177.0	177
448	95.0	95
449	198.0	198
450	166.0	166
451	149.0	149
452	132.0	132
453	136.0	136
454	173.0	173
455	186.0	186
456	200.0	200
457	192.0	192
458	200.0	200
459	185.0	185
460	153.0	153
461	165.0	165
462	172.0	172
463	177.0	177
464	200.0	200
465	200.0	200
466	200.0	200
467	200.0	200
468	200.0	200
469	200.0	200
470	149.0	149
471	133.0	133
472	55.0	55
473	200.0	200
474	200.0	200
475	200.0	200
476	200.0	200
477	200.0	200
478	200.0	200
479	200.0	200
480	200.0	200
481	200.0	200
482	153.0	153
483	184.0	184
484	165.0	165
485	200.0	200
486	111.0	111
487	174.0	174
488	138.0	138
489	127.0	127
490	99.0	99
491	110.0	110
492	107.0	107
493	187.0	187
494	193.0	193
495	115.0	115
496	200.0	200
497	199.0	199
498	164.0	164
499	164.0	164
500	158.0	158
501	166.0	166
502	151.0	151
503	154.0	154
504	159.0	159
505	200.0	200
506	159.0	159
507	178.0	178
508	200.0	200
509	133.0	133
510	31.0	31
511	121.0	121
512	143.0	143
513	158.0	158
514	192.0	192
515	181.0	181
516	200.0	200
517	189.0	189
518	169.0	169
519	200.0	200
520	168.0	168
521	187.0	187
522	200.0	200
523	200.0	200
524	168.0	168
525	200.0	200
526	200.0	200
527	103.0	103
528	132.0	132
529	145.0	145
530	140.0	140
531	139.0	139
532	138.0	138
533	142.0	142
534	126.0	126
535	200.0	200
536	134.0	134
537	157.0	157
538	151.0	151
539	154.0	154
540	156.0	156
541	146.0	146
542	200.0	200
543	200.0	200
544	194.0	194
545	164.0	164
546	189.0	189
547	186.0	186
548	173.0	173
549	200.0	200
550	180.0	180
551	155.0	155
552	74.0	74
553	163.0	163
554	138.0	138
555	200.0	200
556	200.0	200
557	200.0	200
558	200.0	200
559	200.0	200
560	200.0	200
561	200.0	200
562	200.0	200
563	200.0	200
564	142.0	142
565	200.0	200
566	200.0	200
567	200.0	200
568	200.0	200
569	200.0	200
570	200.0	200
571	200.0	200
572	190.0	190
573	200.0	200
574	200.0	200
575	200.0	200
576	200.0	200
577	200.0	200
578	10.0	10
579	9.0	9
580	10.0	10
581	10.0	10
582	200.0	200
583	200.0	200
584	200.0	200
585	200.0	200
586	200.0	200
587	200.0	200
588	200.0	200
589	200.0	200
590	200.0	200
591	173.0	173
592	199.0	199
593	150.0	150
594	196.0	196
595	148.0	148
596	174.0	174
597	96.0	96
598	52.0	52
599	200.0	200
600	200.0	200
601	200.0	200
602	195.0	195
603	181.0	181
604	200.0	200
605	200.0	200
606	200.0	200
607	196.0	196
