EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
396	8.0	8
397	11.0	11
398	16.0	16
399	10.0	10
400	9.0	9
401	12.0	12
402	11.0	11
403	13.0	13
404	10.0	10
405	16.0	16
406	8.0	8
407	13.0	13
408	10.0	10
409	12.0	12
410	10.0	10
411	10.0	10
412	10.0	10
413	14.0	14
414	11.0	11
415	11.0	11
416	13.0	13
417	11.0	11
418	10.0	10
419	10.0	10
420	12.0	12
421	8.0	8
422	10.0	10
423	10.0	10
424	9.0	9
425	11.0	11
426	12.0	12
427	13.0	13
428	9.0	9
429	10.0	10
430	10.0	10
431	9.0	9
432	16.0	16
433	14.0	14
434	12.0	12
435	12.0	12
436	11.0	11
437	16.0	16
438	10.0	10
439	9.0	9
440	11.0	11
441	9.0	9
442	9.0	9
443	10.0	10
444	12.0	12
445	11.0	11
446	14.0	14
447	9.0	9
448	13.0	13
449	8.0	8
450	11.0	11
451	18.0	18
452	10.0	10
453	10.0	10
454	13.0	13
455	11.0	11
456	16.0	16
457	10.0	10
458	9.0	9
459	9.0	9
460	16.0	16
461	19.0	19
462	9.0	9
463	12.0	12
464	11.0	11
465	8.0	8
466	9.0	9
467	14.0	14
468	11.0	11
469	10.0	10
470	10.0	10
471	10.0	10
472	17.0	17
473	12.0	12
474	9.0	9
475	19.0	19
476	10.0	10
477	10.0	10
478	11.0	11
479	10.0	10
480	16.0	16
481	13.0	13
482	8.0	8
483	10.0	10
484	12.0	12
485	12.0	12
486	10.0	10
487	12.0	12
488	13.0	13
489	11.0	11
490	11.0	11
491	10.0	10
492	9.0	9
493	12.0	12
494	10.0	10
495	12.0	12
496	10.0	10
497	9.0	9
498	10.0	10
499	9.0	9
500	10.0	10
501	9.0	9
502	14.0	14
503	12.0	12
504	11.0	11
505	8.0	8
506	11.0	11
507	11.0	11
508	12.0	12
509	11.0	11
510	12.0	12
511	12.0	12
512	10.0	10
513	10.0	10
514	9.0	9
515	10.0	10
516	8.0	8
517	14.0	14
518	10.0	10
519	12.0	12
520	10.0	10
521	9.0	9
522	8.0	8
523	14.0	14
524	11.0	11
525	9.0	9
526	9.0	9
527	11.0	11
528	13.0	13
529	13.0	13
530	13.0	13
531	8.0	8
532	11.0	11
533	13.0	13
534	11.0	11
535	14.0	14
536	14.0	14
537	12.0	12
538	11.0	11
539	11.0	11
540	10.0	10
541	11.0	11
542	11.0	11
543	14.0	14
544	12.0	12
545	8.0	8
546	9.0	9
547	10.0	10
548	15.0	15
549	9.0	9
550	10.0	10
551	10.0	10
552	11.0	11
553	9.0	9
554	10.0	10
555	9.0	9
556	15.0	15
557	11.0	11
558	11.0	11
559	12.0	12
560	11.0	11
561	10.0	10
562	13.0	13
563	10.0	10
564	11.0	11
565	11.0	11
566	11.0	11
567	8.0	8
568	10.0	10
569	11.0	11
570	10.0	10
571	9.0	9
572	8.0	8
573	9.0	9
574	9.0	9
575	10.0	10
576	9.0	9
577	10.0	10
578	16.0	16
579	10.0	10
580	8.0	8
581	10.0	10
582	11.0	11
583	13.0	13
584	12.0	12
585	10.0	10
586	13.0	13
587	11.0	11
588	9.0	9
589	11.0	11
590	9.0	9
591	10.0	10
592	14.0	14
593	11.0	11
594	10.0	10
595	9.0	9
596	10.0	10
597	10.0	10
598	14.0	14
599	9.0	9
600	9.0	9
601	11.0	11
602	9.0	9
603	11.0	11
604	13.0	13
605	11.0	11
606	10.0	10
607	10.0	10
608	17.0	17
609	9.0	9
610	10.0	10
611	9.0	9
612	9.0	9
613	9.0	9
614	10.0	10
615	10.0	10
616	10.0	10
617	8.0	8
618	11.0	11
619	8.0	8
620	10.0	10
621	12.0	12
622	10.0	10
623	9.0	9
624	10.0	10
625	9.0	9
626	9.0	9
627	12.0	12
628	14.0	14
629	10.0	10
630	11.0	11
631	10.0	10
632	14.0	14
633	10.0	10
634	14.0	14
635	10.0	10
636	10.0	10
637	11.0	11
638	11.0	11
639	13.0	13
640	11.0	11
641	9.0	9
642	8.0	8
643	11.0	11
644	13.0	13
645	11.0	11
646	10.0	10
647	10.0	10
648	14.0	14
649	12.0	12
650	8.0	8
651	11.0	11
652	12.0	12
653	16.0	16
654	10.0	10
655	10.0	10
656	11.0	11
657	14.0	14
658	10.0	10
659	12.0	12
660	10.0	10
661	10.0	10
662	9.0	9
663	11.0	11
664	12.0	12
665	11.0	11
666	10.0	10
667	9.0	9
668	10.0	10
669	10.0	10
670	13.0	13
671	10.0	10
672	11.0	11
673	13.0	13
674	13.0	13
675	9.0	9
676	14.0	14
677	10.0	10
678	10.0	10
679	10.0	10
680	9.0	9
681	9.0	9
682	10.0	10
683	14.0	14
684	8.0	8
685	10.0	10
686	11.0	11
687	13.0	13
688	10.0	10
689	9.0	9
690	10.0	10
691	8.0	8
692	9.0	9
693	11.0	11
694	11.0	11
695	9.0	9
696	9.0	9
697	10.0	10
698	11.0	11
699	10.0	10
700	9.0	9
701	9.0	9
702	8.0	8
703	12.0	12
704	10.0	10
705	9.0	9
706	11.0	11
707	10.0	10
708	9.0	9
709	10.0	10
710	10.0	10
711	11.0	11
712	9.0	9
713	10.0	10
714	14.0	14
715	11.0	11
716	9.0	9
717	10.0	10
718	11.0	11
719	10.0	10
720	8.0	8
721	10.0	10
722	10.0	10
723	10.0	10
724	11.0	11
725	12.0	12
726	10.0	10
727	12.0	12
728	11.0	11
729	12.0	12
730	10.0	10
731	10.0	10
732	9.0	9
733	10.0	10
734	11.0	11
735	9.0	9
736	9.0	9
737	10.0	10
738	9.0	9
739	8.0	8
740	9.0	9
741	10.0	10
742	10.0	10
743	9.0	9
744	11.0	11
745	13.0	13
746	9.0	9
747	10.0	10
748	10.0	10
749	11.0	11
750	11.0	11
751	9.0	9
752	11.0	11
753	10.0	10
754	9.0	9
755	11.0	11
756	9.0	9
757	10.0	10
758	9.0	9
759	10.0	10
760	11.0	11
761	10.0	10
762	9.0	9
763	10.0	10
764	11.0	11
765	8.0	8
766	12.0	12
767	10.0	10
768	9.0	9
769	9.0	9
770	9.0	9
771	9.0	9
772	9.0	9
773	11.0	11
774	10.0	10
775	9.0	9
776	10.0	10
777	9.0	9
778	11.0	11
779	10.0	10
780	8.0	8
781	9.0	9
782	11.0	11
783	10.0	10
784	11.0	11
785	11.0	11
786	8.0	8
787	10.0	10
788	9.0	9
789	10.0	10
790	8.0	8
791	8.0	8
792	11.0	11
793	11.0	11
794	11.0	11
795	9.0	9
796	9.0	9
797	10.0	10
798	9.0	9
799	15.0	15
800	10.0	10
801	9.0	9
802	11.0	11
803	10.0	10
804	9.0	9
805	8.0	8
806	9.0	9
807	9.0	9
808	10.0	10
809	10.0	10
810	9.0	9
811	10.0	10
812	10.0	10
813	10.0	10
814	9.0	9
815	9.0	9
816	10.0	10
817	8.0	8
818	10.0	10
819	11.0	11
820	9.0	9
821	10.0	10
822	10.0	10
823	9.0	9
824	9.0	9
825	10.0	10
826	10.0	10
827	12.0	12
828	10.0	10
829	9.0	9
830	10.0	10
831	10.0	10
832	10.0	10
833	10.0	10
834	9.0	9
835	13.0	13
836	10.0	10
837	9.0	9
838	9.0	9
839	13.0	13
840	10.0	10
841	9.0	9
842	11.0	11
843	10.0	10
844	8.0	8
845	9.0	9
846	8.0	8
847	10.0	10
848	8.0	8
849	12.0	12
850	9.0	9
851	10.0	10
852	9.0	9
853	10.0	10
854	9.0	9
855	10.0	10
856	9.0	9
857	10.0	10
858	10.0	10
859	12.0	12
860	9.0	9
861	9.0	9
862	10.0	10
863	11.0	11
864	10.0	10
865	10.0	10
866	8.0	8
867	10.0	10
868	10.0	10
869	10.0	10
870	11.0	11
871	9.0	9
872	10.0	10
873	10.0	10
874	9.0	9
875	9.0	9
876	8.0	8
877	10.0	10
878	11.0	11
879	10.0	10
880	10.0	10
881	9.0	9
882	9.0	9
883	10.0	10
884	8.0	8
885	9.0	9
886	10.0	10
887	9.0	9
888	10.0	10
889	9.0	9
890	9.0	9
891	9.0	9
892	9.0	9
893	8.0	8
894	11.0	11
895	10.0	10
896	11.0	11
897	10.0	10
898	8.0	8
899	10.0	10
900	8.0	8
901	10.0	10
902	9.0	9
903	10.0	10
904	9.0	9
905	11.0	11
906	10.0	10
907	10.0	10
908	10.0	10
909	10.0	10
910	8.0	8
911	9.0	9
912	11.0	11
913	9.0	9
914	12.0	12
915	11.0	11
916	12.0	12
917	9.0	9
918	10.0	10
919	10.0	10
920	9.0	9
921	10.0	10
922	9.0	9
923	12.0	12
924	9.0	9
925	9.0	9
926	9.0	9
927	9.0	9
928	10.0	10
929	11.0	11
930	10.0	10
931	9.0	9
932	11.0	11
933	8.0	8
934	11.0	11
935	9.0	9
936	10.0	10
937	9.0	9
938	9.0	9
939	10.0	10
940	8.0	8
941	9.0	9
942	10.0	10
943	9.0	9
944	10.0	10
945	9.0	9
946	11.0	11
947	9.0	9
948	11.0	11
949	9.0	9
950	8.0	8
951	10.0	10
952	9.0	9
953	10.0	10
954	11.0	11
955	9.0	9
956	8.0	8
957	10.0	10
958	9.0	9
959	10.0	10
960	10.0	10
961	10.0	10
962	10.0	10
963	10.0	10
964	9.0	9
965	9.0	9
966	9.0	9
967	9.0	9
968	9.0	9
969	9.0	9
970	11.0	11
971	8.0	8
972	11.0	11
973	9.0	9
974	10.0	10
975	9.0	9
976	10.0	10
977	9.0	9
978	8.0	8
979	10.0	10
980	11.0	11
981	9.0	9
982	9.0	9
983	10.0	10
984	10.0	10
985	10.0	10
986	10.0	10
987	10.0	10
988	9.0	9
989	9.0	9
990	12.0	12
991	9.0	9
992	10.0	10
993	10.0	10
994	9.0	9
995	10.0	10
996	9.0	9
997	8.0	8
998	9.0	9
999	10.0	10
1000	9.0	9
1001	10.0	10
1002	9.0	9
1003	9.0	9
1004	10.0	10
1005	10.0	10
1006	10.0	10
1007	10.0	10
1008	10.0	10
1009	9.0	9
1010	11.0	11
1011	10.0	10
1012	9.0	9
1013	10.0	10
1014	9.0	9
1015	11.0	11
1016	9.0	9
1017	8.0	8
1018	10.0	10
1019	9.0	9
1020	10.0	10
1021	10.0	10
1022	9.0	9
1023	9.0	9
1024	10.0	10
1025	9.0	9
1026	10.0	10
1027	9.0	9
1028	9.0	9
1029	9.0	9
1030	8.0	8
1031	10.0	10
1032	10.0	10
1033	11.0	11
1034	10.0	10
1035	9.0	9
1036	10.0	10
1037	10.0	10
1038	11.0	11
1039	9.0	9
1040	10.0	10
1041	9.0	9
1042	8.0	8
1043	8.0	8
1044	9.0	9
1045	9.0	9
1046	9.0	9
1047	10.0	10
1048	10.0	10
1049	9.0	9
1050	10.0	10
1051	9.0	9
1052	9.0	9
1053	8.0	8
1054	8.0	8
1055	9.0	9
1056	9.0	9
1057	10.0	10
1058	10.0	10
1059	9.0	9
1060	8.0	8
1061	10.0	10
1062	10.0	10
1063	9.0	9
1064	9.0	9
1065	10.0	10
1066	9.0	9
1067	9.0	9
1068	10.0	10
1069	9.0	9
1070	8.0	8
1071	10.0	10
1072	10.0	10
1073	10.0	10
1074	8.0	8
1075	10.0	10
1076	10.0	10
1077	10.0	10
1078	10.0	10
1079	9.0	9
1080	9.0	9
1081	8.0	8
1082	9.0	9
1083	10.0	10
1084	11.0	11
1085	9.0	9
1086	9.0	9
1087	8.0	8
1088	8.0	8
1089	8.0	8
1090	10.0	10
1091	10.0	10
1092	9.0	9
1093	10.0	10
1094	10.0	10
1095	9.0	9
1096	10.0	10
1097	10.0	10
1098	10.0	10
1099	8.0	8
1100	8.0	8
1101	9.0	9
1102	9.0	9
1103	11.0	11
1104	8.0	8
1105	9.0	9
1106	9.0	9
1107	8.0	8
1108	10.0	10
1109	10.0	10
1110	10.0	10
1111	8.0	8
1112	10.0	10
1113	10.0	10
1114	10.0	10
1115	10.0	10
1116	11.0	11
1117	9.0	9
1118	10.0	10
1119	8.0	8
1120	10.0	10
1121	9.0	9
1122	9.0	9
1123	9.0	9
1124	9.0	9
1125	9.0	9
1126	9.0	9
1127	9.0	9
1128	10.0	10
1129	8.0	8
1130	9.0	9
1131	10.0	10
1132	10.0	10
1133	10.0	10
1134	9.0	9
1135	10.0	10
1136	10.0	10
1137	9.0	9
1138	10.0	10
1139	10.0	10
1140	10.0	10
1141	10.0	10
1142	10.0	10
1143	8.0	8
1144	9.0	9
1145	10.0	10
1146	9.0	9
1147	10.0	10
1148	9.0	9
1149	9.0	9
1150	9.0	9
1151	10.0	10
1152	11.0	11
1153	10.0	10
1154	11.0	11
1155	10.0	10
1156	9.0	9
1157	10.0	10
1158	10.0	10
1159	9.0	9
1160	9.0	9
1161	9.0	9
1162	10.0	10
1163	10.0	10
1164	12.0	12
1165	8.0	8
1166	10.0	10
1167	10.0	10
1168	10.0	10
1169	9.0	9
1170	10.0	10
1171	9.0	9
1172	9.0	9
1173	10.0	10
1174	9.0	9
1175	9.0	9
1176	9.0	9
1177	9.0	9
1178	11.0	11
1179	10.0	10
1180	10.0	10
1181	9.0	9
1182	9.0	9
1183	9.0	9
1184	10.0	10
1185	9.0	9
1186	11.0	11
1187	10.0	10
1188	9.0	9
1189	9.0	9
1190	10.0	10
1191	11.0	11
1192	9.0	9
1193	8.0	8
1194	8.0	8
